cityname,mayor,mayor_img,official1_name,official1_position,official1_district,official2_name,official2_position,official2_district,official3_name,official3_position,official3_district,official4_name,official4_position,official4_district,official5_name,official5_position,official5_district,official6_name,official6_position,official6_district,city_officials_website
COCONUT CREEK,Becky Tooley,http://www.coconutcreek.net/images/default-source/community-relations/becky-tooley.jpg,Mikkie Belvedere,Vice Mayor,,Lou Sarbone,Commissioner,,Sandra L. Welch,Commissioner,, Joshua Rydell,Commissioner,,,,,,,,http://www.coconutcreek.net/community-relations-folder/city-commission
COOPER CITY,Greg Ross,http://www.coopercityfl.org/vertical/Sites/%7B6B555694-E6ED-4811-95F9-68AA3BD0A2FF%7D/uploads/Mayor_Greg_Ross.JPG,John Sims,Commissioner,District 1,Lisa Mallozzi,Commissioner,District 2,Jeff Green,Commissioner,District 3,James C. Curran,Commissioner,District 4,,,,,,,http://www.coopercityfl.org/index.asp?Type=B_LIST&SEC={460BF99D-3AF7-4369-942C-034EC15218DC}
CORAL SPRINGS,Skip Campbell,http://www.coralsprings.org/home/showimage?id=3152&t=635519062632300000,Larry Vignola,Vice Mayor,Seat 3,Dan Daley,Commissioner,Seat 2,Lou Cimaglia,Commissioner,Seat 4,Joy Carter,Commissioner,Seat 5,,,,,,,http://www.coralsprings.org/government/city-commission/your-representatives
DANIA BEACH,"Marco Salvino, Sr.",http://www.ci.dania-beach.fl.us/images/pages/N1926/Marco%20web.jpg,Bobbie H. Grace,Vice Mayor,,Chickie Brandimarte,Commissioner,,"Walter B. ""Duke"" Duke, III",Commissioner,,Albert C. Jones,Commissioner,,,,,,,,http://www.ci.dania-beach.fl.us/index.aspx?nid=57
DAVIE,Judy Paul,http://www.davie-fl.gov/Pages/DavieFL_Admnstratn/CouncilDistricts/015A9283-000F8513.0/Judy-Paul.gif,Susan Starkey,Vice Mayor,District 3,Bryan Caletka,Councilmember,District 1,Caryl Hattan,Councilmember,District 2,Marlon Luis,Councilmember,District 4,,,,,,,http://www.davie-fl.gov/Pages/DavieFL_Admnstratn/CouncilDistricts/index
DEERFIELD BEACH,Jean M. Robb,http://www.deerfield-beach.com/images/pages/N92/Robb%20web%20pic.jpg,Bill Ganz,Vice Mayor,District 4,Joe Miller,Commissioner,District 1,Gloria J. Battle,Commissioner,District 2,Richard Rosenzweig,Commissioner,District 3,,,,,,,http://www.deerfield-beach.com/index.aspx?nid=1022
FORT LAUDERDALE,"John P. ""Jack"" Seiler",http://www.fortlauderdale.gov/Home/ShowImage?id=1460&t=635385174009630000,Robert L. McKinzie,Vice Mayor,District 3,Bruce G. Roberts,Commissioner,District 1,Dean J. Trantalis,Commissioner,District 2,Romney Rogers,Commissioner,District 4,,,,,,,http://www.fortlauderdale.gov/government/city-commission
HALLANDALE BEACH,Joy Cooper,http://www.hallandalebeachfl.gov/images/pages/N28/Joy%20Cooper.jpg,"William ""Bill"" Julian",Vice Mayor,Seat 3,Anthony Sanders,Commissioner,Seat 1,Keith London,Commissioner,Seat 2,Michele Lazarow,Commissioner,Seat 4,,,,,,,http://www.hallandalebeachfl.gov/index.aspx?NID=292
HILLSBORO BEACH,Richard Maggiore,http://www.townofhillsborobeach.com/images/dick.jpg,Deborah Tarrant,Vice Mayor,,Troy Link,Commissioner,,Vicky Feaman,Commissioner,,Carmen McGarry,Commissioner,,,,,,,,http://www.townofhillsborobeach.com/town-government/town-commission
HOLLYWOOD,Peter Bober,http://www.hollywoodfl.org/images/pages/N129/Mayor%20Peter%20Bober-Rcrop.jpg,Kevin D. Biederman,Vice Mayor,,Patricia Asseff,Commissioner,District 1,Peter D. Hernandez,Commissioner,District 2,Traci L. Callari,Commissioner,District 3,Richard S. Blattner,Commissioner,District 4,Linda Sherwood,Commissioner,District 6,http://www.hollywoodfl.org/index.aspx?nid=89
